success,status_code,elapsed_ms,error
True,200,7.98,
True,200,7.88,
True,200,8.59,
True,200,13.84,
True,200,8.71,
True,200,12.93,
True,200,21.17,
True,200,21.32,
True,200,10.82,
True,200,11.04,
True,200,8.33,
True,200,13.01,
True,200,6.70,
True,200,5.61,
True,200,5.85,
True,200,8.72,
True,200,8.89,
True,200,8.88,
True,200,8.83,
True,200,7.65,
True,200,7.50,
True,200,8.74,
True,200,8.78,
True,200,9.08,
True,200,9.09,
True,200,7.98,
True,200,7.02,
True,200,14.35,
True,200,11.89,
True,200,14.89,
True,200,6.96,
True,200,6.02,
True,200,6.41,
True,200,5.60,
True,200,8.52,
True,200,5.46,
True,200,7.22,
True,200,6.44,
True,200,6.48,
True,200,6.31,
True,200,7.43,
True,200,7.10,
True,200,7.89,
True,200,6.65,
True,200,6.82,
True,200,13.92,
True,200,6.88,
True,200,7.40,
True,200,13.68,
True,200,7.28,
True,200,7.36,
True,200,8.46,
True,200,7.89,
True,200,6.97,
True,200,6.79,
True,200,11.19,
True,200,10.84,
True,200,10.72,
True,200,10.63,
True,200,10.51,
True,200,10.38,
True,200,10.08,
True,200,10.26,
True,200,17.14,
True,200,7.63,
True,200,12.72,
True,200,7.58,
True,200,7.74,
True,200,9.84,
True,200,8.15,
True,200,10.91,
True,200,11.24,
True,200,11.59,
True,200,12.47,
True,200,12.86,
True,200,7.30,
True,200,9.54,
True,200,7.66,
True,200,7.46,
True,200,7.31,
True,200,14.14,
True,200,6.70,
True,200,6.62,
True,200,6.36,
True,200,14.47,
True,200,15.83,
True,200,15.73,
True,200,8.26,
True,200,7.92,
True,200,16.68,
True,200,7.87,
True,200,7.77,
True,200,8.28,
True,200,7.52,
True,200,8.29,
True,200,9.03,
True,200,8.86,
True,200,16.11,
True,200,8.93,
True,200,8.93,
True,200,8.69,
True,200,8.74,
True,200,9.62,
True,200,7.20,
True,200,7.69,
True,200,7.62,
True,200,7.93,
True,200,6.60,
True,200,6.63,
True,200,7.52,
True,200,13.88,
True,200,7.06,
True,200,8.12,
True,200,7.02,
True,200,14.95,
True,200,14.47,
True,200,14.54,
True,200,6.22,
True,200,6.22,
True,200,6.15,
True,200,6.45,
True,200,13.41,
True,200,9.82,
True,200,8.95,
True,200,9.40,
True,200,14.99,
True,200,7.56,
True,200,7.41,
True,200,7.79,
True,200,7.75,
True,200,7.72,
True,200,7.78,
True,200,15.00,
True,200,7.94,
True,200,14.98,
True,200,14.60,
True,200,7.41,
True,200,7.32,
True,200,7.32,
True,200,7.21,
True,200,5.45,
True,200,8.72,
True,200,15.99,
True,200,15.85,
True,200,8.00,
True,200,7.86,
True,200,7.98,
True,200,7.79,
True,200,7.67,
True,200,6.90,
True,200,6.92,
True,200,7.05,
True,200,11.81,
True,200,14.49,
True,200,7.08,
True,200,14.45,
True,200,6.97,
True,200,7.01,
True,200,6.91,
True,200,7.50,
True,200,7.21,
True,200,7.39,
True,200,7.30,
True,200,6.87,
True,200,6.91,
True,200,7.70,
