success,status_code,elapsed_ms,error
True,200,4.62,
True,200,1.68,
True,200,1.48,
True,200,1.60,
True,200,1.63,
True,200,1.71,
True,200,3.20,
True,200,3.17,
True,200,2.92,
True,200,3.09,
True,200,3.17,
True,200,3.01,
True,200,3.10,
True,200,3.18,
True,200,3.02,
True,200,3.19,
True,200,3.02,
True,200,3.05,
True,200,3.07,
True,200,3.07,
True,200,3.08,
True,200,3.06,
True,200,3.05,
True,200,2.99,
True,200,1.56,
True,200,1.65,
True,200,1.47,
True,200,1.58,
True,200,1.67,
True,200,3.63,
True,200,3.73,
True,200,3.56,
True,200,3.42,
True,200,3.39,
True,200,3.44,
True,200,3.31,
True,200,3.02,
True,200,3.26,
True,200,3.26,
True,200,3.05,
True,200,3.06,
True,200,3.39,
True,200,2.99,
True,200,2.94,
True,200,3.04,
True,200,2.83,
True,200,9.61,
True,200,3.28,
True,200,3.10,
True,200,3.22,
True,200,3.40,
True,200,3.65,
True,200,3.65,
True,200,3.87,
True,200,3.95,
True,200,4.23,
True,200,5.16,
True,200,2.82,
True,200,2.64,
True,200,2.76,
True,200,3.17,
True,200,2.91,
True,200,3.24,
True,200,3.00,
True,200,3.22,
True,200,4.37,
True,200,3.75,
True,200,4.13,
True,200,4.23,
True,200,4.27,
True,200,4.22,
True,200,5.71,
True,200,5.54,
True,200,5.94,
True,200,5.67,
True,200,5.42,
True,200,5.68,
True,200,2.93,
True,200,3.24,
True,200,3.03,
True,200,3.93,
True,200,7.76,
True,200,7.12,
True,200,7.26,
True,200,7.09,
True,200,6.93,
True,200,7.09,
True,200,7.07,
True,200,11.65,
True,200,9.81,
True,200,9.39,
True,200,14.42,
True,200,17.19,
True,200,21.09,
True,200,24.13,
True,200,21.74,
True,200,22.60,
True,200,23.65,
True,200,23.42,
True,200,23.22,
True,200,12.88,
True,200,9.23,
True,200,4.74,
True,200,4.99,
True,200,4.74,
True,200,5.06,
True,200,4.78,
True,200,4.79,
True,200,4.87,
True,200,5.11,
True,200,4.95,
True,200,5.04,
True,200,4.69,
True,200,4.95,
True,200,4.94,
True,200,4.80,
True,200,4.86,
True,200,4.21,
True,200,4.60,
True,200,4.32,
True,200,4.79,
True,200,3.96,
True,200,4.79,
True,200,4.42,
True,200,4.82,
True,200,31.57,
True,200,31.56,
True,200,29.88,
True,200,29.26,
True,200,29.56,
True,200,29.21,
True,200,47.94,
True,200,29.01,
True,200,29.09,
True,200,29.00,
True,200,28.99,
True,200,29.03,
True,200,28.81,
True,200,30.50,
True,200,30.72,
True,200,29.86,
True,200,45.94,
True,200,3.78,
True,200,4.01,
True,200,3.85,
True,200,4.04,
True,200,4.25,
True,200,3.98,
True,200,7.94,
True,200,7.93,
True,200,8.07,
True,200,7.62,
True,200,5.00,
True,200,5.17,
True,200,5.01,
True,200,5.11,
True,200,5.12,
True,200,5.16,
True,200,5.19,
True,200,5.30,
True,200,6.32,
True,200,6.32,
True,200,3.47,
True,200,3.53,
True,200,4.34,
True,200,4.19,
True,200,4.45,
True,200,4.74,
True,200,4.74,
True,200,4.77,
True,200,4.39,
True,200,4.72,
True,200,4.50,
True,200,4.54,
True,200,3.94,
True,200,4.09,
True,200,4.17,
True,200,1.25,
True,200,2.77,
True,200,2.87,
True,200,2.86,
True,200,3.03,
True,200,3.07,
True,200,3.23,
True,200,3.38,
True,200,3.17,
True,200,2.86,
True,200,2.88,
True,200,2.82,
True,200,2.97,
True,200,2.55,
True,200,2.66,
True,200,2.64,
True,200,2.76,
True,200,2.51,
True,200,2.58,
True,200,5.52,
True,200,3.76,
True,200,6.21,
True,200,11.01,
True,200,10.82,
True,200,25.62,
True,200,14.38,
True,200,14.45,
True,200,14.68,
True,200,13.02,
True,200,1.60,
True,200,1.36,
True,200,2.55,
True,200,3.05,
True,200,5.29,
True,200,5.08,
True,200,5.17,
True,200,5.26,
True,200,5.34,
True,200,5.16,
True,200,4.89,
True,200,5.11,
True,200,5.38,
True,200,5.19,
True,200,4.94,
True,200,5.26,
True,200,4.84,
True,200,4.96,
True,200,4.94,
True,200,4.27,
True,200,3.48,
True,200,1.48,
True,200,1.54,
True,200,3.41,
True,200,4.35,
True,200,3.32,
True,200,3.08,
True,200,3.40,
True,200,3.15,
True,200,3.15,
True,200,3.25,
True,200,3.33,
True,200,3.44,
True,200,3.27,
True,200,3.34,
True,200,2.90,
True,200,3.21,
True,200,3.32,
True,200,3.31,
True,200,3.21,
True,200,2.68,
True,200,5.86,
True,200,5.86,
True,200,5.78,
True,200,5.78,
True,200,5.72,
True,200,5.70,
True,200,5.71,
True,200,5.57,
True,200,5.71,
True,200,5.43,
True,200,5.55,
True,200,5.38,
True,200,5.54,
True,200,5.19,
True,200,5.33,
True,200,5.52,
True,200,5.28,
True,200,4.87,
True,200,4.01,
True,200,7.22,
True,200,8.39,
True,200,8.38,
True,200,6.69,
True,200,6.81,
True,200,8.33,
True,200,7.96,
True,200,8.15,
True,200,8.22,
True,200,8.11,
True,200,3.33,
True,200,2.99,
True,200,3.06,
True,200,3.21,
True,200,3.05,
True,200,3.40,
True,200,3.47,
True,200,5.55,
True,200,3.83,
True,200,4.36,
True,200,3.75,
True,200,3.48,
True,200,3.76,
True,200,3.52,
True,200,3.58,
True,200,3.43,
True,200,3.35,
True,200,3.09,
True,200,3.30,
True,200,3.32,
True,200,3.15,
True,200,3.25,
True,200,3.08,
True,200,3.18,
True,200,3.28,
True,200,3.12,
True,200,1.63,
True,200,1.63,
True,200,1.65,
True,200,1.82,
True,200,1.59,
True,200,4.39,
True,200,3.51,
True,200,3.34,
True,200,3.42,
True,200,3.42,
True,200,3.42,
True,200,3.42,
True,200,3.85,
True,200,3.36,
True,200,3.35,
True,200,3.36,
True,200,3.69,
True,200,3.70,
True,200,3.73,
True,200,3.10,
True,200,3.26,
True,200,3.52,
True,200,3.50,
True,200,3.43,
True,200,0.90,
True,200,3.23,
True,200,3.06,
True,200,3.17,
True,200,3.51,
True,200,3.10,
True,200,2.77,
True,200,3.20,
True,200,2.74,
True,200,3.19,
True,200,3.20,
True,200,3.25,
True,200,3.25,
True,200,3.23,
True,200,3.31,
