success,status_code,elapsed_ms,error
True,200,2.64,
True,200,8.86,
True,200,2.88,
True,200,2.40,
True,200,3.04,
True,200,2.98,
True,200,3.18,
True,200,2.69,
True,200,3.52,
True,200,2.83,
True,200,11.24,
True,200,11.15,
True,200,11.01,
True,200,8.73,
True,200,2.65,
True,200,3.79,
True,200,3.57,
True,200,2.32,
True,200,3.66,
True,200,16.03,
True,200,2.09,
True,200,2.33,
True,200,1.64,
True,200,2.12,
True,200,1.60,
True,200,2.13,
True,200,2.52,
True,200,2.37,
True,200,13.40,
True,200,17.46,
True,200,3.26,
True,200,8.41,
True,200,7.88,
True,200,6.51,
True,200,6.78,
True,200,9.40,
True,200,7.42,
True,200,6.98,
True,200,17.60,
True,200,6.69,
True,200,2.90,
True,200,2.98,
True,200,4.09,
True,200,4.12,
True,200,5.06,
True,200,10.98,
True,200,2.93,
True,200,7.38,
True,200,2.77,
True,200,2.54,
True,200,2.49,
True,200,11.39,
True,200,2.42,
True,200,2.71,
True,200,3.43,
True,200,3.23,
True,200,3.60,
True,200,4.10,
True,200,3.35,
True,200,3.69,
True,200,3.65,
True,200,4.68,
True,200,4.69,
True,200,3.50,
True,200,9.70,
True,200,4.27,
True,200,3.23,
True,200,3.18,
True,200,3.53,
True,200,3.20,
True,200,3.05,
True,200,2.91,
True,200,3.83,
True,200,3.82,
True,200,4.28,
True,200,9.05,
True,200,4.13,
True,200,3.68,
True,200,3.92,
True,200,4.32,
True,200,4.92,
True,200,4.84,
True,200,4.76,
True,200,4.38,
True,200,5.43,
True,200,4.48,
True,200,7.61,
True,200,4.29,
True,200,4.51,
True,200,4.83,
True,200,4.75,
True,200,9.03,
True,200,4.46,
True,200,4.34,
True,200,5.89,
True,200,4.26,
True,200,3.26,
True,200,2.64,
True,200,2.79,
True,200,3.85,
True,200,3.67,
True,200,3.34,
True,200,3.62,
True,200,8.39,
True,200,8.27,
True,200,3.99,
True,200,3.93,
True,200,3.99,
True,200,4.59,
True,200,4.14,
True,200,3.99,
True,200,3.81,
True,200,3.70,
True,200,3.00,
True,200,2.60,
True,200,6.14,
True,200,4.60,
True,200,4.39,
True,200,4.34,
True,200,4.13,
True,200,3.99,
True,200,3.81,
True,200,3.83,
True,200,3.62,
True,200,7.94,
True,200,9.88,
True,200,12.63,
True,200,12.44,
True,200,6.85,
True,200,7.07,
True,200,7.28,
True,200,7.27,
True,200,11.58,
True,200,2.53,
True,200,8.91,
True,200,2.25,
True,200,1.64,
True,200,1.16,
True,200,1.04,
True,200,8.92,
True,200,3.45,
True,200,3.46,
True,200,3.50,
True,200,3.07,
True,200,2.50,
True,200,2.27,
True,200,3.30,
True,200,3.61,
True,200,10.40,
True,200,3.20,
True,200,3.34,
True,200,2.70,
True,200,13.00,
True,200,9.87,
True,200,2.70,
True,200,9.78,
True,200,2.94,
True,200,6.86,
True,200,6.76,
True,200,6.62,
True,200,3.25,
True,200,3.28,
True,200,3.17,
True,200,3.13,
True,200,2.96,
True,200,9.69,
True,200,4.02,
True,200,3.34,
True,200,10.05,
True,200,13.77,
True,200,2.99,
True,200,2.38,
True,200,2.64,
True,200,2.45,
True,200,2.77,
True,200,2.75,
True,200,3.02,
True,200,9.89,
True,200,2.97,
True,200,7.15,
True,200,3.79,
True,200,3.59,
True,200,3.87,
True,200,3.54,
True,200,2.94,
True,200,2.19,
True,200,10.05,
True,200,2.49,
True,200,2.51,
True,200,3.40,
True,200,14.40,
True,200,14.34,
True,200,3.49,
True,200,3.13,
True,200,2.98,
True,200,2.13,
True,200,3.95,
True,200,3.67,
True,200,3.82,
True,200,11.88,
True,200,12.00,
True,200,7.57,
True,200,3.24,
True,200,2.87,
True,200,2.78,
True,200,2.89,
True,200,4.20,
True,200,4.32,
True,200,4.35,
True,200,12.02,
