success,status_code,elapsed_ms,error
True,200,1.37,
True,200,1.09,
True,200,1.75,
True,200,1.64,
True,200,1.38,
True,200,0.91,
True,200,1.37,
True,200,1.65,
True,200,1.84,
True,200,1.20,
True,200,7.68,
True,200,1.01,
True,200,0.96,
True,200,0.84,
True,200,1.32,
True,200,1.16,
True,200,1.16,
True,200,0.93,
True,200,0.78,
True,200,1.18,
True,200,1.16,
True,200,0.97,
True,200,1.85,
True,200,5.68,
True,200,7.44,
True,200,1.66,
True,200,1.43,
True,200,6.85,
True,200,1.61,
True,200,1.18,
True,200,7.56,
True,200,1.53,
True,200,1.68,
True,200,1.36,
True,200,0.82,
True,200,1.08,
True,200,6.48,
True,200,1.13,
True,200,1.46,
True,200,1.26,
True,200,1.21,
True,200,1.35,
True,200,7.11,
True,200,1.10,
True,200,1.02,
True,200,1.07,
True,200,8.48,
True,200,1.02,
True,200,0.82,
True,200,10.96,
True,200,1.05,
True,200,1.07,
True,200,1.10,
True,200,0.78,
True,200,0.76,
True,200,0.74,
True,200,0.79,
True,200,1.07,
True,200,0.85,
True,200,1.14,
True,200,0.86,
True,200,1.16,
True,200,0.96,
True,200,0.97,
True,200,0.99,
True,200,0.93,
True,200,0.97,
True,200,1.13,
True,200,1.15,
True,200,1.29,
True,200,1.36,
True,200,1.31,
True,200,1.88,
True,200,2.50,
True,200,1.97,
True,200,6.18,
True,200,2.34,
True,200,2.23,
True,200,2.15,
True,200,2.20,
True,200,2.09,
True,200,2.60,
True,200,8.22,
True,200,9.20,
True,200,6.17,
True,200,6.16,
True,200,1.01,
True,200,0.83,
True,200,0.56,
True,200,0.83,
True,200,0.90,
True,200,0.86,
True,200,0.93,
True,200,0.92,
True,200,1.05,
True,200,0.86,
True,200,0.73,
True,200,1.25,
True,200,1.26,
True,200,1.03,
True,200,0.78,
True,200,1.51,
True,200,1.76,
True,200,0.75,
True,200,1.42,
True,200,1.31,
True,200,5.78,
True,200,0.76,
True,200,1.44,
True,200,7.86,
True,200,1.22,
True,200,4.20,
True,200,1.03,
True,200,1.10,
True,200,1.74,
True,200,1.39,
True,200,10.80,
True,200,6.67,
True,200,1.17,
True,200,1.21,
True,200,1.00,
True,200,0.82,
True,200,0.92,
True,200,0.93,
True,200,0.87,
True,200,0.87,
True,200,0.96,
True,200,1.05,
True,200,1.08,
True,200,0.93,
True,200,0.96,
True,200,0.80,
True,200,0.95,
True,200,0.70,
True,200,0.63,
True,200,6.87,
True,200,1.17,
True,200,1.17,
True,200,1.45,
True,200,5.87,
True,200,1.41,
True,200,1.49,
True,200,1.32,
True,200,1.21,
True,200,1.29,
True,200,1.23,
True,200,0.76,
True,200,6.76,
True,200,1.26,
True,200,1.41,
True,200,1.15,
True,200,1.72,
True,200,2.03,
True,200,2.04,
True,200,6.61,
True,200,1.84,
True,200,3.65,
True,200,1.08,
True,200,1.48,
True,200,1.89,
True,200,2.53,
True,200,5.91,
True,200,1.18,
True,200,1.21,
True,200,1.22,
True,200,1.07,
True,200,0.79,
True,200,1.05,
True,200,1.46,
True,200,1.00,
True,200,5.67,
True,200,1.41,
True,200,1.47,
True,200,1.42,
True,200,1.24,
True,200,1.08,
True,200,1.16,
True,200,9.23,
True,200,7.22,
True,200,5.84,
True,200,5.04,
True,200,1.13,
True,200,0.94,
True,200,0.93,
True,200,0.91,
True,200,0.71,
True,200,1.07,
True,200,1.36,
True,200,1.18,
True,200,0.79,
True,200,0.63,
True,200,1.11,
True,200,1.46,
True,200,1.31,
True,200,1.16,
True,200,12.50,
True,200,7.39,
True,200,0.60,
True,200,1.01,
True,200,0.99,
True,200,1.33,
True,200,1.11,
True,200,7.02,
True,200,0.88,
True,200,0.81,
True,200,1.30,
True,200,0.85,
True,200,0.69,
True,200,0.83,
True,200,0.61,
True,200,0.88,
True,200,0.89,
True,200,0.89,
True,200,0.80,
True,200,7.65,
True,200,0.84,
True,200,0.87,
True,200,1.24,
True,200,0.72,
True,200,1.08,
True,200,1.09,
True,200,0.87,
True,200,0.92,
True,200,0.83,
True,200,0.50,
True,200,1.07,
True,200,0.96,
True,200,0.90,
True,200,1.28,
True,200,1.35,
True,200,1.73,
True,200,1.56,
True,200,1.25,
True,200,1.17,
True,200,1.01,
True,200,1.59,
True,200,1.39,
True,200,0.84,
True,200,6.32,
True,200,1.06,
True,200,0.92,
True,200,1.07,
True,200,1.10,
True,200,0.90,
True,200,0.65,
True,200,0.93,
True,200,0.96,
True,200,0.88,
True,200,5.41,
True,200,1.59,
True,200,1.23,
True,200,1.02,
True,200,1.24,
True,200,1.27,
True,200,5.69,
True,200,1.25,
True,200,1.07,
True,200,1.29,
True,200,1.03,
True,200,0.97,
True,200,1.24,
True,200,1.11,
True,200,1.35,
True,200,1.16,
True,200,1.51,
True,200,1.55,
True,200,1.40,
True,200,1.41,
True,200,1.52,
True,200,1.46,
True,200,1.52,
True,200,3.82,
True,200,3.79,
True,200,1.31,
True,200,1.29,
True,200,1.15,
True,200,1.17,
True,200,1.31,
True,200,1.16,
True,200,1.20,
True,200,1.14,
True,200,1.12,
True,200,1.21,
True,200,3.05,
True,200,10.64,
True,200,5.18,
True,200,5.42,
True,200,5.90,
True,200,0.79,
True,200,7.14,
True,200,0.60,
True,200,0.94,
True,200,6.45,
True,200,0.94,
True,200,0.87,
True,200,0.59,
True,200,1.16,
True,200,1.17,
True,200,0.93,
True,200,0.97,
True,200,0.93,
True,200,1.02,
True,200,1.21,
True,200,6.12,
True,200,8.81,
True,200,1.26,
True,200,1.30,
True,200,1.12,
True,200,1.10,
True,200,0.88,
True,200,1.25,
True,200,0.62,
True,200,1.02,
True,200,1.16,
True,200,1.04,
True,200,0.95,
True,200,1.15,
True,200,1.51,
True,200,8.24,
True,200,1.29,
True,200,1.37,
True,200,1.45,
True,200,1.22,
True,200,1.69,
True,200,1.68,
True,200,0.72,
True,200,1.25,
True,200,1.00,
True,200,1.02,
True,200,0.99,
True,200,1.12,
True,200,1.65,
True,200,7.62,
True,200,1.52,
True,200,2.20,
True,200,2.34,
True,200,2.15,
True,200,9.81,
True,200,1.14,
True,200,1.04,
True,200,1.00,
True,200,0.76,
True,200,0.84,
True,200,7.87,
True,200,8.13,
True,200,2.18,
True,200,2.71,
True,200,2.58,
True,200,1.94,
True,200,1.90,
True,200,3.16,
True,200,3.16,
True,200,3.27,
True,200,0.83,
True,200,1.83,
True,200,1.66,
True,200,1.25,
True,200,1.87,
True,200,2.08,
True,200,1.28,
True,200,0.67,
True,200,1.31,
True,200,1.24,
True,200,1.14,
True,200,1.11,
True,200,1.04,
True,200,0.95,
True,200,7.57,
True,200,0.58,
True,200,0.90,
True,200,1.15,
True,200,1.07,
True,200,1.10,
True,200,1.19,
True,200,1.29,
True,200,1.01,
True,200,1.13,
True,200,1.47,
True,200,1.29,
True,200,1.31,
True,200,1.14,
True,200,1.45,
True,200,4.44,
True,200,1.56,
True,200,1.72,
True,200,1.79,
True,200,1.49,
True,200,1.50,
True,200,1.13,
True,200,1.14,
True,200,1.48,
True,200,1.12,
True,200,1.10,
True,200,1.54,
True,200,1.59,
True,200,1.52,
True,200,1.54,
True,200,1.92,
True,200,2.34,
True,200,2.16,
True,200,1.88,
True,200,1.84,
True,200,4.12,
True,200,3.34,
True,200,1.49,
True,200,1.67,
True,200,1.03,
True,200,1.37,
True,200,1.44,
True,200,7.84,
True,200,1.26,
True,200,1.37,
True,200,1.42,
True,200,1.03,
True,200,1.06,
True,200,0.94,
True,200,1.06,
True,200,1.80,
True,200,1.96,
True,200,1.57,
True,200,1.70,
True,200,1.18,
True,200,2.98,
True,200,1.63,
True,200,1.80,
True,200,1.62,
True,200,1.05,
True,200,0.75,
True,200,0.90,
True,200,1.25,
True,200,1.47,
True,200,1.94,
True,200,1.29,
True,200,7.25,
True,200,1.33,
True,200,4.38,
True,200,1.01,
True,200,1.52,
True,200,1.06,
True,200,1.25,
True,200,0.93,
True,200,0.87,
True,200,0.95,
True,200,0.96,
True,200,0.95,
True,200,6.74,
True,200,1.08,
True,200,1.03,
True,200,1.12,
True,200,1.03,
