success,status_code,elapsed_ms,error
True,200,42.20,
True,200,6.50,
True,200,137.32,
True,200,21.68,
True,200,5.11,
True,200,7.41,
True,200,3.52,
True,200,3.95,
True,200,2.86,
True,200,11.29,
True,200,6.64,
True,200,3.54,
True,200,8.18,
True,200,6.40,
True,200,1.52,
True,200,1.44,
True,200,3.17,
True,200,3.04,
True,200,2.72,
True,200,2.11,
True,200,9.56,
True,200,6.14,
True,200,3.87,
True,200,3.11,
True,200,3.13,
True,200,4.51,
True,200,7.00,
True,200,7.21,
True,200,4.96,
True,200,2.47,
True,200,4.14,
True,200,3.42,
True,200,5.80,
True,200,4.52,
True,200,3.26,
True,200,68.48,
True,200,28.54,
True,200,3.44,
True,200,5.51,
True,200,31.67,
True,200,4.53,
True,200,6.15,
True,200,21.42,
True,200,9.21,
True,200,2.94,
True,200,34.52,
True,200,2.95,
True,200,6.53,
True,200,3.90,
True,200,2.41,
True,200,3.32,
True,200,2.33,
True,200,3.78,
True,200,13.59,
True,200,3.10,
True,200,30.67,
True,200,13.79,
True,200,7.30,
True,200,17.80,
True,200,7.54,
True,200,9.51,
True,200,3.26,
True,200,4.73,
True,200,4.11,
True,200,4.08,
True,200,4.19,
True,200,3.69,
True,200,16.99,
True,200,23.40,
True,200,9.41,
True,200,8.54,
True,200,9.21,
True,200,5.28,
True,200,6.34,
True,200,10.98,
True,200,8.31,
True,200,2.65,
True,200,2.70,
True,200,5.73,
True,200,2.67,
True,200,5.00,
True,200,11.79,
True,200,2.24,
True,200,7.70,
True,200,17.72,
True,200,3.23,
True,200,11.52,
True,200,8.97,
True,200,16.98,
True,200,22.26,
True,200,7.33,
True,200,2.59,
True,200,5.11,
True,200,2.73,
True,200,2.31,
True,200,2.47,
True,200,3.65,
True,200,4.88,
True,200,14.99,
True,200,9.49,
True,200,7.70,
True,200,3.91,
True,200,2.79,
True,200,2.87,
True,200,4.14,
True,200,9.30,
True,200,2.79,
True,200,3.71,
True,200,2.99,
True,200,2.08,
True,200,4.75,
True,200,3.45,
True,200,3.93,
True,200,6.78,
True,200,8.56,
True,200,11.70,
True,200,10.94,
True,200,8.77,
True,200,3.49,
True,200,3.48,
True,200,2.79,
True,200,2.43,
True,200,2.32,
True,200,4.13,
True,200,4.92,
True,200,3.90,
True,200,3.92,
True,200,3.34,
True,200,6.11,
True,200,2.77,
True,200,3.29,
True,200,2.80,
True,200,4.42,
True,200,4.53,
True,200,4.12,
True,200,2.36,
True,200,3.54,
True,200,22.79,
True,200,31.95,
True,200,32.60,
True,200,2.63,
True,200,4.47,
True,200,5.33,
True,200,9.98,
True,200,9.44,
True,200,9.09,
True,200,46.00,
True,200,4.95,
True,200,7.17,
True,200,2.52,
True,200,5.43,
True,200,4.58,
True,200,4.86,
True,200,21.56,
True,200,12.97,
True,200,19.17,
True,200,11.76,
True,200,4.19,
True,200,12.62,
True,200,28.68,
True,200,28.50,
True,200,22.47,
True,200,2.73,
True,200,4.45,
True,200,4.38,
True,200,7.52,
True,200,10.93,
True,200,34.69,
True,200,7.83,
True,200,3.58,
True,200,11.31,
True,200,13.26,
True,200,21.55,
True,200,5.14,
True,200,3.24,
True,200,10.60,
